url,Aircraft Name,First Flight,Aircraft Engines
https://asn.flightsafety.org/database/type/_B146,Avro RJ / BAe-146, , 2 Jet engines
https://asn.flightsafety.org/database/type/RJ1H,Avro RJ-100, 1992, 4 Jet engines
https://asn.flightsafety.org/database/type/RJ70,Avro RJ-70, 1992, 4 Jet engines
https://asn.flightsafety.org/database/type/RJ85,Avro RJ-85, 1992, 4 Jet engines
https://asn.flightsafety.org/database/type/tudr,Avro Tudor, 1945, 4 Piston engines
https://asn.flightsafety.org/database/type/b152,Baade 152, 1958, 4 Jet engines
https://asn.flightsafety.org/database/type/BA11,BAC One-Eleven, 1963, 2 Jet engines
https://asn.flightsafety.org/database/type/CONC,BAC/Aérospatiale Concorde, 1969, 4 Jet engines
https://asn.flightsafety.org/database/type/_H25,BAe-125 (all series), , 2 Jet engines
https://asn.flightsafety.org/database/type/DC3T,Basler DC-3-65TP, , 2 Turboprop engines
https://asn.flightsafety.org/database/type/B190,Beechcraft 1900, 1982, 2 Turboprop engines
https://asn.flightsafety.org/database/type/be34,Beechcraft 34 Twin Quad, 1947, 4 Piston engines
https://asn.flightsafety.org/database/type/PRM1,Raytheon Premier 1, 1998, 2 Jet engines
https://asn.flightsafety.org/database/type/BE99,Beechcraft 99, 1966, 2 Turboprop engines
https://asn.flightsafety.org/database/type/BE40,Beechcraft Beechjet 400, 1986, 2 Jet engines
https://asn.flightsafety.org/database/type/BER2,Beriev Be-200, 1998, 2 Jet engines
https://asn.flightsafety.org/database/type/BE32,Beriev Be-30, 1967, 2 Turboprop engines
https://asn.flightsafety.org/database/type/bevl,Blackburn Beverley, 1950, 4 Piston engines
https://asn.flightsafety.org/database/type/b155,Blériot 155, 1925, 4 Piston engines
https://asn.flightsafety.org/database/type/b314,Boeing 314, 1938, 4 Piston engines
https://asn.flightsafety.org/database/type/b377,Boeing 377 Stratocruiser, 1947, 4 Piston engines
https://asn.flightsafety.org/database/type/_B707,Boeing 707 (all series), , 4 Jet engines
https://asn.flightsafety.org/database/type/_B707,Boeing 707 (all series), , 4 Jet engines
https://asn.flightsafety.org/database/type/B701,Boeing 707-100, 1957, 4 Jet engines
https://asn.flightsafety.org/database/type/B703,Boeing 707-300, 1959, 4 Jet engines
https://asn.flightsafety.org/database/type/B704,Boeing 707-400, , 4 Jet engines
https://asn.flightsafety.org/database/type/B712,Boeing 717, 1998, 2 Jet engines
https://asn.flightsafety.org/database/type/B720,Boeing 720, 1959, 4 Jet engines
https://asn.flightsafety.org/database/type/_B727,Boeing 727 (all series), , 3 Jet engines
https://asn.flightsafety.org/database/type/_B727,Boeing 727 (all series), , 3 Jet engines
https://asn.flightsafety.org/database/type/B721,Boeing 727-100, 1963, 3 Jet engines
https://asn.flightsafety.org/database/type/B722,Boeing 727-200, 1967, 3 Jet engines
https://asn.flightsafety.org/database/type/_B73C,Boeing 737 Classic, , 2 Jet engines
https://asn.flightsafety.org/database/type/_B73C,Boeing 737 Classic, , 2 Jet engines
https://asn.flightsafety.org/database/type/B38M,Boeing 737 MAX 8, 2016, 2 Jet engines
https://asn.flightsafety.org/database/type/B39M,Boeing 737 MAX 9, 2017, 2 Jet engines
https://asn.flightsafety.org/database/type/_B73M,Boeing 737 MAX family, , 2 Jet engines
https://asn.flightsafety.org/database/type/_B73M,Boeing 737 MAX family, , 2 Jet engines
https://asn.flightsafety.org/database/type/_B73N,Boeing 737 NG, , 2 Jet engines
https://asn.flightsafety.org/database/type/_B73N,Boeing 737 NG, , 2 Jet engines
https://asn.flightsafety.org/database/type/B731,Boeing 737-100, 1967, 2 Jet engines
https://asn.flightsafety.org/database/type/B732,Boeing 737-200, 1967, 2 Jet engines
https://asn.flightsafety.org/database/type/B733,Boeing 737-300, 1984, 2 Jet engines
https://asn.flightsafety.org/database/type/B734,Boeing 737-400, 1988, 2 Jet engines
https://asn.flightsafety.org/database/type/B735,Boeing 737-500, 1989, 2 Jet engines
https://asn.flightsafety.org/database/type/B736,Boeing 737-600, 1998, 2 Jet engines
https://asn.flightsafety.org/database/type/B737,Boeing 737-700, 1997, 2 Jet engines
https://asn.flightsafety.org/database/type/B738,Boeing 737-800, 1997, 2 Jet engines
https://asn.flightsafety.org/database/type/B739,Boeing 737-900, 2000, 2 Jet engines
https://asn.flightsafety.org/database/type/_B747,Boeing 747 (all series), , 4 Jet engines
https://asn.flightsafety.org/database/type/_B747,Boeing 747 (all series), , 4 Jet engines
https://asn.flightsafety.org/database/type/B741,Boeing 747-100, 1969, 4 Jet engines
https://asn.flightsafety.org/database/type/B742,Boeing 747-200, 1970, 4 Jet engines
https://asn.flightsafety.org/database/type/B743,Boeing 747-300, 1982, 4 Jet engines
https://asn.flightsafety.org/database/type/B744,Boeing 747-400, 1988, 4 Jet engines
https://asn.flightsafety.org/database/type/B748,Boeing 747-8, 2010, 4 Jet engines
https://asn.flightsafety.org/database/type/B74S,Boeing 747SP, 1975, 4 Jet engines
https://asn.flightsafety.org/database/type/B74R,Boeing 747SR, 1973, 4 Jet engines
https://asn.flightsafety.org/database/type/_B757,Boeing 757 (all series), , 2 Jet engines
https://asn.flightsafety.org/database/type/_B757,Boeing 757 (all series), , 2 Jet engines
https://asn.flightsafety.org/database/type/B752,Boeing 757-200, 1982, 2 Jet engines
https://asn.flightsafety.org/database/type/B753,Boeing 757-300, 1998, 2 Jet engines
https://asn.flightsafety.org/database/type/_B767,Boeing 767 (all series), , 2 Jet engines
https://asn.flightsafety.org/database/type/_B767,Boeing 767 (all series), , 2 Jet engines
https://asn.flightsafety.org/database/type/B762,Boeing 767-200, 1981, 2 Jet engines
https://asn.flightsafety.org/database/type/B763,Boeing 767-300, 1986, 2 Jet engines
https://asn.flightsafety.org/database/type/B764,Boeing 767-400, 1999, 2 Jet engines
https://asn.flightsafety.org/database/type/_B777,Boeing 777 (all series), , 2 Jet engines
https://asn.flightsafety.org/database/type/_B777,Boeing 777 (all series), , 2 Jet engines
https://asn.flightsafety.org/database/type/B772,Boeing 777-200, 1994, 2 Jet engines
https://asn.flightsafety.org/database/type/B77L,Boeing 777-200LR, , 2 Jet engines
https://asn.flightsafety.org/database/type/B773,Boeing 777-300, 1997, 2 Jet engines
https://asn.flightsafety.org/database/type/B77W,Boeing 777-300ER, 2003, 2 Jet engines
https://asn.flightsafety.org/database/type/_B787,Boeing 787 (all series), , 2 Jet engines
https://asn.flightsafety.org/database/type/_B787,Boeing 787 (all series), , 2 Jet engines
https://asn.flightsafety.org/database/type/B788,Boeing 787-8 Dreamliner, 2009, 2 Jet engines
https://asn.flightsafety.org/database/type/B789,Boeing 787-9 Dreamliner, 2013, 2 Jet engines
https://asn.flightsafety.org/database/type/C135,Boeing C-135, 1965, 4 Jet engines
https://asn.flightsafety.org/database/type/C97,Boeing C-97 Stratofreighter, 1944, 4 Piston engines
https://asn.flightsafety.org/database/type/BLCF,Boeing Dreamlifter, 2006, 4 Jet engines
